Item,Qty,Value,Footprint,MPN/Manufacturer,References
1,36,"470R","Resistor:R_0805","—","R_LED1 R_IN1 R_LED2 R_IN2 R_LED3 R_IN3 R_LED4 R_IN4 R_LED5 R_IN5 R_LED6 R_IN6 R_LED7 R_IN7 R_LED8 R_IN8 R_LED9 R_IN9 R_LED10 R_IN10 R_LED11 R_IN11 R_LED12 R_IN12 R_LED13 R_IN13 R_LED14 R_IN14 R_LED15 R_IN15 R_LED16 R_IN16 R_LED_PWR R_LED_WIFI R_LED_HMS R_LED_FLT"
2,32,"10K","Resistor:R_0805","—","R_PU1 R_PU2 R_PU3 R_PU4 R_PU5 R_PU6 R_PU7 R_PU8 R_PU9 R_PU10 R_PU11 R_PU12 R_PU13 R_PU14 R_PU15 R_PU16 R_DIP1 R_DIP2 R_DIP3 R_DIP4 R_DIP5 R_DIP6 R_DIP7 R_DIP8 R_DIP9 R_DIP10 R_DIP11 R_DIP12 R_DIP13 R_DIP14 R_DIP15 R_DIP16"
3,16,"1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm","1N4007","D_FW1 D_FW2 D_FW3 D_FW4 D_FW5 D_FW6 D_FW7 D_FW8 D_FW9 D_FW10 D_FW11 D_FW12 D_FW13 D_FW14 D_FW15 D_FW16"
4,16,"GREEN","LED_THT:LED_D3.0mm","—","LED_CH1 LED_CH2 LED_CH3 LED_CH4 LED_CH5 LED_CH6 LED_CH7 LED_CH8 LED_CH9 LED_CH10 LED_CH11 LED_CH12 LED_CH13 LED_CH14 LED_CH15 LED_CH16"
5,16,"COM_NO_NC","TerminalBlock:TerminalBlock_Phoenix_3pin","Phoenix MKDS 3","J_OUT1 J_OUT2 J_OUT3 J_OUT4 J_OUT5 J_OUT6 J_OUT7 J_OUT8 J_OUT9 J_OUT10 J_OUT11 J_OUT12 J_OUT13 J_OUT14 J_OUT15 J_OUT16"
6,16,"PC817","Package_DIP:DIP-4_W7.62mm","PC817","OC1 OC2 OC3 OC4 OC5 OC6 OC7 OC8 OC9 OC10 OC11 OC12 OC13 OC14 OC15 OC16"
7,16,"Keycard_dry_contact","TerminalBlock:TerminalBlock_Phoenix_2pin","Phoenix MKDS 2","J_KC1 J_KC2 J_KC3 J_KC4 J_KC5 J_KC6 J_KC7 J_KC8 J_KC9 J_KC10 J_KC11 J_KC12 J_KC13 J_KC14 J_KC15 J_KC16"
8,16,"Contactor_coil_L_N","TerminalBlock:TerminalBlock_Phoenix_2pin","Phoenix MKDS 2","J_TRIG1 J_TRIG2 J_TRIG3 J_TRIG4 J_TRIG5 J_TRIG6 J_TRIG7 J_TRIG8 J_TRIG9 J_TRIG10 J_TRIG11 J_TRIG12 J_TRIG13 J_TRIG14 J_TRIG15 J_TRIG16"
9,8,"G5LE-1-E_10A","Relay_THT:Relay_SPDT_Omron_G5LE-1","—","RLY1 RLY2 RLY3 RLY4 RLY5 RLY6 RLY7 RLY8"
10,8,"10A","Fuse:Fuseholder_5x20","—","F_OUT1 F_OUT2 F_OUT3 F_OUT4 F_OUT5 F_OUT6 F_OUT7 F_OUT8"
11,8,"Finder_40.52_16A","Relay_THT:Relay_SPDT_Finder_40.52","—","RLY9 RLY10 RLY11 RLY12 RLY13 RLY14 RLY15 RLY16"
12,8,"16A","Fuse:Fuseholder_5x20","—","F_OUT9 F_OUT10 F_OUT11 F_OUT12 F_OUT13 F_OUT14 F_OUT15 F_OUT16"
13,3,"100uF_25V","Capacitor:CP_Radial_D6.3","—","C1 C2 C3"
14,2,"ULN2803A","Package_DIP:DIP-18_W7.62mm","ULN2803A","U_DRV1 U_DRV2"
15,2,"DIP_SW_8","Button_Switch_THT:SW_DIP_SPSTx08_Slide","CTS 208-8MS","SW_DIP1 SW_DIP2"
16,2,"RED","LED_THT:LED_D3.0mm","—","LED_PWR LED_FLT"
17,1,"Mains_IN_L_N_PE","TerminalBlock:TerminalBlock_Phoenix_3pin","Phoenix MKDS 3","J_MAINS"
18,1,"6A_250VAC","Fuse:Fuseholder_5x20","Littelfuse 217.006","F1"
19,1,"20A_250VAC","Fuse:Fuseholder_5x20","Littelfuse 217.020","F2"
20,1,"S20K275","Varistor:RV_Disc_D20","Siemens S20K275","RV1"
21,1,"CL60","Resistor:R_Disc_D12","Ametherm CL-60","NTC1"
22,1,"0.1uF_X2","Capacitor:C_Rect_L18_W6","X2 275VAC","CX1"
23,1,"HLK-PM01_5V","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","Hi-Link HLK-PM01","PSU1"
24,1,"HLK-PM12_12V","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","Hi-Link HLK-PM12","PSU2"
25,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3","AMS1117-3.3","U_LDO1"
26,1,"100nF_50V","Capacitor:C_0805","—","C4"
27,1,"STM32F103RCT6","Package_QFP:LQFP-64_10x10mm_P0.5mm","STM32F103RCT6","U_STM"
28,1,"ESP32-WROOM-32E","RF_Module:ESP32-WROOM-32","Espressif ESP32-WROOM-32E","U_ESP"
29,1,"8MHz","Crystal:Crystal_HC49-4H_Vertical","—","Y1"
30,1,"MAX485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","MAX485","U_485"
31,1,"RS485_A_B_G","TerminalBlock:TerminalBlock_Phoenix_3pin","Phoenix MKDS 3","J_RS485"
32,1,"BLUE","LED_THT:LED_D3.0mm","—","LED_WIFI"
33,1,"YELLOW","LED_THT:LED_D3.0mm","—","LED_HMS"
