Item,Qty,Value,Footprint,MPN,References
1,20,"470R","Resistor:R_0805","—","R_IN1 R_IN2 R_IN3 R_IN4 R_IN5 R_IN6 R_IN7 R_IN8 R_IN9 R_IN10 R_IN11 R_IN12 R_IN13 R_IN14 R_IN15 R_IN16 R_LED_PWR R_LED_WIFI R_LED_HMS R_LED_FLT"
2,16,"PC817","Package_DIP:DIP-4_W7.62mm","PC817","OC1 OC2 OC3 OC4 OC5 OC6 OC7 OC8 OC9 OC10 OC11 OC12 OC13 OC14 OC15 OC16"
3,16,"10K","Resistor:R_0805","—","R_PU1 R_PU2 R_PU3 R_PU4 R_PU5 R_PU6 R_PU7 R_PU8 R_PU9 R_PU10 R_PU11 R_PU12 R_PU13 R_PU14 R_PU15 R_PU16"
4,16,"Keycard_dry_contact","TerminalBlock:TerminalBlock_Phoenix_2pin","Phoenix MKDS 2","J_KC1 J_KC2 J_KC3 J_KC4 J_KC5 J_KC6 J_KC7 J_KC8 J_KC9 J_KC10 J_KC11 J_KC12 J_KC13 J_KC14 J_KC15 J_KC16"
5,2,"100nF","Capacitor:C_0805","—","C2 C3"
6,2,"RED","LED_THT:LED_D3.0mm","—","LED_PWR LED_FLT"
7,1,"AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3","AMS1117-3.3","U_LDO1"
8,1,"100uF_25V","Capacitor:CP_Radial_D6.3","—","C1"
9,1,"STM32F103RCT6","Package_QFP:LQFP-64_10x10mm_P0.5mm","STM32F103RCT6","U_STM"
10,1,"ESP32-WROOM-32E","RF_Module:ESP32-WROOM-32","Espressif ESP32-WROOM-32E","U_ESP"
11,1,"8MHz","Crystal:Crystal_HC49-4H_Vertical","—","Y1"
12,1,"MAX485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","MAX485","U_485"
13,1,"RS485_A_B_G","TerminalBlock:TerminalBlock_Phoenix_3pin","Phoenix MKDS 3","J_RS485"
14,1,"BLUE","LED_THT:LED_D3.0mm","—","LED_WIFI"
15,1,"YELLOW","LED_THT:LED_D3.0mm","—","LED_HMS"
16,1,"IDC_20pin_ribbon","Connector_IDC:IDC-Header_2x10_P2.54mm","Amphenol T812","J_IBC"
