Item,Qty,Value,Footprint,MPN,References
1,16,"1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm","1N4007","D_FW1 D_FW2 D_FW3 D_FW4 D_FW5 D_FW6 D_FW7 D_FW8 D_FW9 D_FW10 D_FW11 D_FW12 D_FW13 D_FW14 D_FW15 D_FW16"
2,16,"GREEN","LED_THT:LED_D3.0mm","—","LED_CH1 LED_CH2 LED_CH3 LED_CH4 LED_CH5 LED_CH6 LED_CH7 LED_CH8 LED_CH9 LED_CH10 LED_CH11 LED_CH12 LED_CH13 LED_CH14 LED_CH15 LED_CH16"
3,16,"470R","Resistor:R_0805","—","R_LED1 R_LED2 R_LED3 R_LED4 R_LED5 R_LED6 R_LED7 R_LED8 R_LED9 R_LED10 R_LED11 R_LED12 R_LED13 R_LED14 R_LED15 R_LED16"
4,16,"COM_NO_NC","TerminalBlock:TerminalBlock_Phoenix_3pin","Phoenix MKDS 3","J_OUT1 J_OUT2 J_OUT3 J_OUT4 J_OUT5 J_OUT6 J_OUT7 J_OUT8 J_OUT9 J_OUT10 J_OUT11 J_OUT12 J_OUT13 J_OUT14 J_OUT15 J_OUT16"
5,16,"Contactor_coil_L_N","TerminalBlock:TerminalBlock_Phoenix_2pin","Phoenix MKDS 2","J_TRIG1 J_TRIG2 J_TRIG3 J_TRIG4 J_TRIG5 J_TRIG6 J_TRIG7 J_TRIG8 J_TRIG9 J_TRIG10 J_TRIG11 J_TRIG12 J_TRIG13 J_TRIG14 J_TRIG15 J_TRIG16"
6,16,"10K","Resistor:R_0805","—","R_DIP1 R_DIP2 R_DIP3 R_DIP4 R_DIP5 R_DIP6 R_DIP7 R_DIP8 R_DIP9 R_DIP10 R_DIP11 R_DIP12 R_DIP13 R_DIP14 R_DIP15 R_DIP16"
7,8,"G5LE-1-E_10A","Relay_THT:Relay_SPDT_Omron_G5LE-1","—","RLY1 RLY2 RLY3 RLY4 RLY5 RLY6 RLY7 RLY8"
8,8,"10A","Fuse:Fuseholder_5x20","—","F_OUT1 F_OUT2 F_OUT3 F_OUT4 F_OUT5 F_OUT6 F_OUT7 F_OUT8"
9,8,"Finder_40.52_16A","Relay_THT:Relay_SPDT_Finder_40.52","—","RLY9 RLY10 RLY11 RLY12 RLY13 RLY14 RLY15 RLY16"
10,8,"16A","Fuse:Fuseholder_5x20","—","F_OUT9 F_OUT10 F_OUT11 F_OUT12 F_OUT13 F_OUT14 F_OUT15 F_OUT16"
11,2,"100uF_25V","Capacitor:CP_Radial_D6.3","—","C1 C2"
12,2,"ULN2803A","Package_DIP:DIP-18_W7.62mm","ULN2803A","U_DRV1 U_DRV2"
13,2,"DIP_SW_8","Button_Switch_THT:SW_DIP_SPSTx08_Slide","CTS 208-8MS","SW_DIP1 SW_DIP2"
14,1,"Mains_IN_L_N_PE","TerminalBlock:TerminalBlock_Phoenix_3pin","Phoenix MKDS 3","J_MAINS"
15,1,"6A_250VAC","Fuse:Fuseholder_5x20","Littelfuse 217.006","F1"
16,1,"20A_250VAC","Fuse:Fuseholder_5x20","Littelfuse 217.020","F2"
17,1,"S20K275","Varistor:RV_Disc_D20","Siemens S20K275","RV1"
18,1,"CL60","Resistor:R_Disc_D12","Ametherm CL-60","NTC1"
19,1,"0.1uF_X2","Capacitor:C_Rect_L18_W6","X2 275VAC","CX1"
20,1,"HLK-PM01_5V","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","Hi-Link HLK-PM01","PSU1"
21,1,"HLK-PM12_12V","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","Hi-Link HLK-PM12","PSU2"
22,1,"IDC_20pin_ribbon","Connector_IDC:IDC-Header_2x10_P2.54mm","Amphenol T812","J_IBC"
